Product ID,Product Name,Old URL Slug,Recommended New Slug
35,"",product-8,
449,"Mahmood Rice 4;5Kg",Mahmood_Rice_5Kg,mahmood-rice-45kg
528,"1&1 Abghore/Veri Juice",Abghore_Veri_Juice,11-abghoreveri-juice
557,"Lazzat Star Basmati Rice",Lazzat_Star_Basmati_Rice_5_Kg,lazzat-star-basmati-rice
569,"Kaalar Basmati Rice 1121 Steam",Kaalar_Basmati_Rice_1121_Steam,kaalar-basmati-rice-1121-steam
576,"TRS Rice Flour",TRS_Rice_Flour_500g,trs-rice-flour
598,"Falak Extreme 1121 Basmati Rice",Falak_Extreme_1121_Steam_Rice,falak-extreme-1121-basmati-rice
599,"India Gate Basmati Rice Classic",India_Gate_Classic_Basmati_Rice_5_Kg,india-gate-basmati-rice-classic
634,"Yaqoot Extra Long 1121 Sella Basmati Rice 5Kg",Yaqoot_Extra_L̴ng_1121_Sella_Basmati_Rice_5Kg,yaqoot-extra-long-1121-sella-basmati-rice-5kg
645,"TRS Gram Flour 2Kg",TRS_Gram_Flour_2Kg,trs-gram-flour-2kg
646,"National Corn Flour 300g",National_Corn_Flour_300g,national-corn-flour-300g
648,"Elephant Chappati Atta 10Kg",Elephant_Chappati _Atta _10Kg,elephant-chappati-atta-10kg
649,"TRS Coarse Semolina 500g",TRS_Coarse_Semolina_500g,trs-coarse-semolina-500g
650,"TRS Fine Semolina 500g",TRS_Fine_Semolina_500g,trs-fine-semolina-500g
651,"TRS Ragi Flour 1Kg",TRS_Ragi_Flour_Red_Teff_Flour_1kg,trs-ragi-flour-1kg
652,"TRS Bajri Flour 1Kg",TRS_Bajri_Flour_1Kg,trs-bajri-flour-1kg
653,"TRS Juwar Flour 1Kg",TRS_Juwar_Flour_1Kg,trs-juwar-flour-1kg
654,"TRS Black Pepper Coarse 100g",TRS_Black_Pepper_Coarse_100g,trs-black-pepper-coarse-100g
655,"Nongshim Shin Ramyun Noodles",Nongshim_Shin_Ramyun_Noodles,nongshim-shin-ramyun-noodles
656,"Nongshim Kimchi Noodles",Nongshim_Kimchi_Noodles,nongshim-kimchi-noodles
657,"Samyang Buldak Ramen Cheese",Samyang_Buldak_Ramen_Cheese,samyang-buldak-ramen-cheese
658,"Samyang Buldak Ramen Jjajang",Samyang_Buldak_Ramen_Jjajang,samyang-buldak-ramen-jjajang
659,"Samyang Buldak 2*Spicy Ramen",Samyang_Buldak_2*Spicy_Ramen_Noodles,samyang-buldak-2spicy-ramen
660,"Samyan Buldak Ramen Stew Type",Samyan_Buldak_Ramen_Stew_Type_Noodles,samyan-buldak-ramen-stew-type
661,"TRS Crushed Chillies 100g",TRS_Crushed_Chillies_100g_Extra_Hot,trs-crushed-chillies-100g
662,"TRS Dhania Powder 100g",TRS_Dhania_Powder_100g,trs-dhania-powder-100g
663,"TRS Chilli Powder Ex. Hot 100g",TRS_Chilli_Powder_Ex_Hot_100g,trs-chilli-powder-ex-hot-100g
664,"TRS Chilli Powder 100g",TRS_Chilli_Powder_100g,trs-chilli-powder-100g
665,"TRS Turmeric Powder 100g",TRS_Turmeric_Powder_100g,trs-turmeric-powder-100g
666,"TRS Jeera Powder 100g",TRS_Jeera_Powder_100g,trs-jeera-powder-100g
667,"TRS Garlic Powder 100g",TRS_Garlic_Powder_100g,trs-garlic-powder-100g
668,"TRS Ginger Powder 100g",TRS_Ginger_Powder_100g,trs-ginger-powder-100g
669,"TRS Paprika Powder 100g",TRS_Paprika_Powder_100g,trs-paprika-powder-100g
670,"TRS Whole Chillies Ex. Hot 50g",TRS_Whole_Chillies_Ex_Hot_50g,trs-whole-chillies-ex-hot-50g
672,"National Green Chilli Sauce",National_Green_Chilli_Sauce_300g,national-green-chilli-sauce
673,"National Red Chilli Sauce",National_Red_Chilli_Sauce_300g,national-red-chilli-sauce
674,"National Mango Chilli Sauce",National_Mango_Chilli_Sauce_300g,national-mango-chilli-sauce
